PO_Name,County,State,PM_Salary,Latitude,Longitude
Meadow,Millard,UT,4,38.8857984,-112.4104943
Mendon,Cache,UT,19,41.7099297,-111.977725
Midway,Wasatch,UT,15,40.5080107,-111.4696318
Mill Creek,Salt Lake,UT,12,40.6893914,-111.8585458
Millville,Cache,UT,22,41.6807653,-111.8241094
Minersville,Beaver,UT,38,38.2133029,-112.9252288
Mona,Juab,UT,18,39.8166213,-111.8502126
Monroe,Sevier,UT,12,38.6316391,-112.121313
Morgan,Morgan,UT,150,41.0388338,-111.6802103
Moroni,Sanpete,UT,92,39.5249616,-111.584639
Mount Pleasant,Salt Lake,UT,250,,
New Harmony,Washington,UT,13,37.4797021,-113.3080072
Newton,Cache,UT,12,41.8627046,-111.9907837
North Ogden,Weber,UT,34,41.3082756,-111.9657754
Ogden City,Weber,UT,1000,41.223,-111.9738304
Ophir,Tooele,UT,12,40.3693901,-112.2585566
Paradise,Cache,UT,17,41.5688234,-111.8379975
Paragonah,Iron,UT,39,37.8858079,-112.7752206
Parowan,Iron,UT,130,37.8410864,-112.8302218
Payson,Utah,UT,120,40.0430102,-111.7302071
Peoa,Summit,UT,12,40.7246718,-111.3418577
Petersburgh,Millard,UT,12,38.839,-112.457
Peterson,Morgan,UT,19,41.1179989,-111.7677146
Pine Valley,Washington,UT,17,37.3910907,-113.5141224
Pinto,Washington,UT,17,37.538311,-113.5166246
Plain City,Weber,UT,40,41.3021645,-112.0852205
Pleasant Grove,Utah,UT,78,40.3627295,-111.7382622
Portage,Box Elder,UT,13,41.9754794,-112.2071828
Providence,Cache,UT,38,41.7082648,-111.8179984
Provo City,Utah,UT,300,40.2338438,-111.6585337
Richfield,Sevier,UT,12,38.7702453,-112.0849276
Richmond,Cache,UT,29,41.9227055,-111.8257797
Riverdale,Weber,UT,31,41.1768888,-112.0038311
Rockville,Washington,UT,20,37.1610939,-113.0382745
Saint George,Washington,UT,440,37.1083142,-113.5824567
Salina,Sevier,UT,12,38.9577407,-111.858536
Salt Creek,Juab,UT,200,39.7102336,-111.8363216
Salt Lake City,Salt Lake,UT,3600,40.7607794,-111.8910474
Santaquin,Utah,UT,93,39.9760656,-111.7849329
Scipio,Millard,UT,58,39.24496,-112.1041015
Silver City,Juab,UT,12,39.9099498,-112.1299456
Slatersville,Weber,UT,12,41.2516113,-112.0254973
Smithfield,Cache,UT,43,41.8382622,-111.8327229
South Cottonwood,Salt Lake,UT,12,40.6525,-111.893333
Spanish Fork,Utah,UT,77,40.1127328,-111.6546452
Spring City,Sanpete,UT,130,39.4788519,-111.4963014
Springdale,Washington,UT,10,37.1891491,-112.9993848
Springville,Utah,UT,120,40.1619001,-111.6104748
Stockton,Tooele,UT,25,40.452722,-112.3607824
Stoker,Davis,UT,100,40.8877229,-111.8791043
Summit,Iron,UT,40,37.8010871,-112.9363354
Tokersville,Washington,UT,74,37.2533157,-113.2846707
Tooele,Tooele,UT,55,40.5318887,-112.2988357
Uintah,Weber,UT,12,41.1479994,-111.9202182
Union,Salt Lake,UT,44,40.6068923,-111.8743789
Virgin City,Washington,UT,37,37.208316,-113.1882792
Wales,Sanpete,UT,12,39.4869056,-111.6351961
Wallsburg,Wasatch,UT,12,40.3866228,-111.4204611
Wanship,Summit,UT,65,40.8118925,-111.4074184
Warrensburg,Iron,UT,12,,
Wasatch,Summit,UT,340,40.4968993,-111.4099049
Washington,Washington,UT,180,37.1299817,-113.5102312
Wellsville,Cache,UT,360,41.6390988,-111.9332786
West Jordan,Salt Lake,UT,10,40.602,-111.9586
Willard,Box Elder,UT,70,41.4085497,-112.0377224
Winsor,Kane,UT,12,37.247206,-112.664377
Woods Cross,Davis,UT,12,40.8778,-111.8992
